iri,pref_label,type
http://purl.org/sig/ont/fma/fma4168,right second superior phrenic artery,AS
http://purl.org/sig/ont/fma/fma71841,pararectal lymph node,AS
http://purl.obolibrary.org/obo/UBERON_0004946,submucosa,AS
http://purl.obolibrary.org/obo/UBERON_0022276,splenic flexure,AS
http://purl.obolibrary.org/obo/UBERON_0003517,kidney blood vessel,AS
http://purl.obolibrary.org/obo/UBERON_0006544,vessels,AS
http://purl.obolibrary.org/obo/UBERON_0001899,epithalamus,AS
http://purl.obolibrary.org/obo/UBERON_0002943,lingual gyrus,AS
http://purl.org/sig/ont/fma/fma66049,branch of sacral nerve plexus to coccygeus,AS
http://purl.obolibrary.org/obo/UBERON_0006665,accessory hemiazygos vein,AS
http://purl.obolibrary.org/obo/UBERON_0002285,lateral ventricles,AS
http://purl.obolibrary.org/obo/UBERON_0001373,sartorius muscle,AS
http://purl.org/sig/ont/fma/fma52242,common cochlear artery,AS
http://purl.obolibrary.org/obo/UBERON_0000314,mucosa,AS
http://purl.obolibrary.org/obo/UBERON_0003982,ovulatory antral follicle,AS
http://purl.obolibrary.org/obo/UBERON_0004322,middle phalanx of digit of hand 4,AS
http://purl.obolibrary.org/obo/UBERON_0007634,parabrachial nuclei,AS
http://purl.obolibrary.org/obo/UBERON_0001145,ovarian vein,AS
http://purl.obolibrary.org/obo/UBERON_0002037,cerebellum,AS
http://purl.obolibrary.org/obo/UBERON_0000966,retina,AS
http://purl.org/sig/ont/fma/fma53243,inferior alveolar nerve,AS
http://purl.org/sig/ont/fma/fma76767,anterior cardiac veins,AS
http://purl.obolibrary.org/obo/UBERON_0001362,perineal vein,AS
http://purl.obolibrary.org/obo/UBERON_0001112,latissimus dorsi muscle,AS
http://purl.obolibrary.org/obo/UBERON_0026246,sacral spinal cord white matter,AS
http://purl.obolibrary.org/obo/UBERON_0005843,sacral spinal cord,AS
http://purl.obolibrary.org/obo/UBERON_0034982,inferior bulb of internal jugular vein,AS
http://purl.obolibrary.org/obo/UBERON_0035273,superior thoracic artery,AS
http://purl.obolibrary.org/obo/UBERON_0001451,navicular bone of foot,AS
http://purl.obolibrary.org/obo/UBERON_0001650,hypoglossal nerve,AS
http://purl.obolibrary.org/obo/UBERON_0001531,right common carotid artery,AS
http://purl.org/sig/ont/fma/fma44809,medial dorsal cutaneous nerve,AS
http://purl.org/sig/ont/fma/fma65296,lateral pectoral nerve,AS
http://purl.org/sig/ont/fma/fma19035,tibial nerve,AS
http://purl.obolibrary.org/obo/UBERON_0001485,knee joint,AS
http://purl.obolibrary.org/obo/UBERON_0001414,median cubital vein,AS
http://purl.obolibrary.org/obo/UBERON_0001623,dorsal nasal artery,AS
http://purl.obolibrary.org/obo/UBERON_0002078,right atrium,AS
http://purl.obolibrary.org/obo/UBERON_0004989,mucosa,AS
http://purl.obolibrary.org/obo/UBERON_0001659,transverse facial vein #2,AS
http://purl.obolibrary.org/obo/UBERON_0001659,transverse facial vein,AS
http://purl.obolibrary.org/obo/UBERON_0002476,"globus pallidus, external",AS
http://purl.obolibrary.org/obo/UBERON_0010011,basal nuclei (basal ganglia),AS
http://purl.org/sig/ont/fma/fma77559,deep branch of radial nerve,AS
http://purl.org/sig/ont/fma/fma79972,nerve to abductor digiti minimi of foot,AS
http://purl.obolibrary.org/obo/UBERON_0000305,amnion,AS
http://purl.obolibrary.org/obo/UBERON_0001656,retromandibular vein,AS
http://purl.obolibrary.org/obo/UBERON_0001656,retromandibular vein #2,AS
http://purl.obolibrary.org/obo/UBERON_0012324,transverse cervical artery,AS
http://purl.obolibrary.org/obo/UBERON_0010946,occipitofrontalis muscle,AS
http://purl.obolibrary.org/obo/UBERON_0002048,lung,AS
http://purl.obolibrary.org/obo/UBERON_0000029,lymph node,AS
http://purl.obolibrary.org/obo/UBERON_0004601,rib 1,AS
http://purl.obolibrary.org/obo/UBERON_0001687,stapes bone,AS
http://purl.obolibrary.org/obo/UBERON_0001473,lymphatic vessels,AS
http://purl.obolibrary.org/obo/UBERON_0004086,ventricles of hindbrain,AS
http://purl.obolibrary.org/obo/UBERON_0002657,posterior parahippocampal gyrus,AS
http://purl.obolibrary.org/obo/UBERON_0002124,medulla of thymus,AS
http://purl.org/sig/ont/fma/fma65275,long thoracic nerve,AS
http://purl.obolibrary.org/obo/UBERON_0002962,adductor pollicis muscle,AS
http://purl.obolibrary.org/obo/UBERON_0001685,hyoid bone,AS
http://purl.obolibrary.org/obo/UBERON_0001891,midbrain (mesencephalon),AS
http://purl.obolibrary.org/obo/UBERON_0001534,right subclavian artery,AS
http://purl.obolibrary.org/obo/UBERON_0004723,interlobular renal artery,AS
http://purl.obolibrary.org/obo/UBERON_0001552,arcuate renal artery,AS
http://purl.org/sig/ont/fma/fma49916,left superior pulmonary vein,AS
http://purl.obolibrary.org/obo/UBERON_0000976,humerus,AS
http://purl.obolibrary.org/obo/UBERON_0001947,red nucleus,AS
http://purl.obolibrary.org/obo/UBERON_0001898,hypothalamus,AS
http://purl.obolibrary.org/obo/UBERON_0006454,t6 segment of thoracic spinal cord,AS
http://purl.obolibrary.org/obo/UBERON_0001579,olfactory nerve,AS
http://purl.obolibrary.org/obo/UBERON_0005215,interstitium,AS
http://purl.obolibrary.org/obo/UBERON_0004202,kidney outer medulla outer stripe,AS
http://purl.obolibrary.org/obo/UBERON_0001785,cranial nerve,AS
http://purl.obolibrary.org/obo/UBERON_0002009,pulmonary nerve plexus,AS
http://purl.obolibrary.org/obo/UBERON_0002264,olfactory bulb,AS
http://purl.org/sig/ont/fma/fma8647,posterior basal segmental artery of left lung,AS
http://purl.org/sig/ont/fma/fma54407,branch of hypoglossal nerve to genioglossus,AS
http://purl.org/sig/ont/fma/fma78714,branch of sacral nerve plexus to gemellus inferior,AS
http://purl.obolibrary.org/obo/UBERON_0002324,back muscle,AS
http://purl.obolibrary.org/obo/UBERON_0001391,popliteus muscle,AS
http://purl.obolibrary.org/obo/UBERON_0002795,frontal pole,AS
http://purl.obolibrary.org/obo/UBERON_0005467,platysma muscle,AS
http://purl.org/sig/ont/fma/fma6447,sixth cervical spinal nerve,AS
http://purl.obolibrary.org/obo/UBERON_0001574,palatoglossus muscle,AS
http://purl.obolibrary.org/obo/UBERON_8410017,left colic vein,AS
http://purl.obolibrary.org/obo/UBERON_0009687,middle cardiac vein,AS
http://purl.obolibrary.org/obo/UBERON_0001870,frontal cortex,AS
http://purl.obolibrary.org/obo/UBERON_0005483,thymus lobe,AS
http://purl.obolibrary.org/obo/UBERON_0000038,follicular fluid,AS
http://purl.obolibrary.org/obo/UBERON_0019280,rostral gyrus,AS
http://purl.obolibrary.org/obo/UBERON_0001628,posterior communicating artery,AS
http://purl.org/sig/ont/fma/fma49631,posterior tympanic artery,AS
http://purl.org/sig/ont/fma/fma39145,posterior antebrachial cutaneous nerve,AS
http://purl.obolibrary.org/obo/UBERON_0004190,glomerulus vasculature,AS
http://purl.obolibrary.org/obo/UBERON_0000074,renal glomerulus,AS
http://purl.org/sig/ont/fma/fma44815,lateral dorsal digital nerve of little toe,AS
http://purl.obolibrary.org/obo/UBERON_0009989,condyle of tibia,AS
http://purl.obolibrary.org/obo/UBERON_0006468,t12 thoracic spinal cord segment,AS
http://purl.org/sig/ont/fma/fma53247,mylohyoid branch of inferior alveolar nerve,AS
http://purl.org/sig/ont/fma/fma15796,posterior superior segmental branch of right hepatic vein,AS
http://purl.org/sig/ont/fma/fma52797,scarpa's nerve,AS
http://purl.obolibrary.org/obo/UBERON_0004319,distal phalanx of digit of foot 5,AS
http://purl.obolibrary.org/obo/UBERON_0003040,periaqueductal gray substance,AS
http://purl.org/sig/ont/fma/fma8619,posterior segmental artery of right lung,AS
http://purl.obolibrary.org/obo/UBERON_0003329,submucosa,AS
http://purl.obolibrary.org/obo/UBERON_0013133,superior phrenic artery,AS
http://purl.obolibrary.org/obo/UBERON_0014685,pterygoid venous plexus,AS
http://purl.obolibrary.org/obo/UBERON_0003711,brachiocephalic vein,AS
http://purl.obolibrary.org/obo/UBERON_0004537,blood vasculature,AS
http://purl.obolibrary.org/obo/UBERON_0000948,heart,AS
http://purl.obolibrary.org/obo/UBERON_0004602,rib 2,AS
http://purl.obolibrary.org/obo/UBERON_0002756,"cingulate gyrus, rostral (anterior) part",AS
http://purl.obolibrary.org/obo/UBERON_0001908,optic tract,AS
http://purl.obolibrary.org/obo/UBERON_0002067,dermis,AS
http://purl.obolibrary.org/obo/UBERON_0014543,lumbar division of spinal cord central canal,AS
http://purl.org/sig/ont/fma/fma44710,medial calcaneal branch of tibial nerve,AS
http://purl.obolibrary.org/obo/UBERON_0000569,ileocecal valve,AS
http://purl.obolibrary.org/obo/UBERON_0003725,cervical plexus,AS
http://purl.org/sig/ont/fma/fma5033,left subclavian lymph trunk,AS
http://purl.obolibrary.org/obo/UBERON_0001452,distal tarsal bone 1,AS
http://purl.obolibrary.org/obo/UBERON_0000375,mandibular nerve,AS
http://purl.obolibrary.org/obo/UBERON_0002352,atrioventricular node,AS
http://purl.obolibrary.org/obo/UBERON_0006666,great cerebral vein,AS
http://purl.obolibrary.org/obo/UBERON_0001955,epithelium of respiratory bronchiole,AS
http://purl.obolibrary.org/obo/UBERON_0016402,mesocolic lymph node,AS
http://purl.obolibrary.org/obo/UBERON_0008323,dorsal artery of clitoris,AS
http://purl.obolibrary.org/obo/UBERON_0012648,ampulla of fallopian tube,AS
http://purl.obolibrary.org/obo/UBERON_0003646,metacarpal bone of digit 2,AS
http://purl.org/sig/ont/fma/fma80243,branch of deep branch of ulnar nerve to first palmar interosseous of hand,AS
http://purl.obolibrary.org/obo/UBERON_0002401,visceral pleura,AS
http://purl.obolibrary.org/obo/UBERON_0035547,vorticose vein,AS
http://purl.obolibrary.org/obo/UBERON_0035547,vorticose vein #2,AS
http://purl.org/sig/ont/fma/fma8776,ventral ramus of second sacral spinal nerve,AS
http://purl.obolibrary.org/obo/UBERON_0001958,terminal bronchiole epithelium,AS
http://purl.org/sig/ont/fma/fma8620,anterior segmental artery of right lung,AS
http://purl.obolibrary.org/obo/UBERON_0014623,substantia gelatinosa of cervical spinal cord dorsal horn,AS
http://purl.org/sig/ont/fma/fma8607,ventral ramus of seventh thoracic spinal nerve,AS
http://purl.org/sig/ont/fma/fma53103,masseteric nerve,AS
http://purl.obolibrary.org/obo/UBERON_0005464,median sacral artery,AS
http://purl.obolibrary.org/obo/UBERON_0001811,conjunctiva,AS
http://purl.obolibrary.org/obo/UBERON_0005751,visceral epithelial layer,AS
http://purl.obolibrary.org/obo/UBERON_0004188,glomerular epithelium,AS
http://purl.obolibrary.org/obo/UBERON_0004096,odontoid process of second cervical vertebra,AS
http://purl.obolibrary.org/obo/UBERON_0003649,metacarpal bone of digit 5,AS
http://purl.org/sig/ont/fma/fma70175,acetabular branch of obturator artery,AS
http://purl.obolibrary.org/obo/UBERON_0002022,insular lobe,AS
http://purl.obolibrary.org/obo/UBERON_0009967,splenic sinusoid,AS
http://purl.org/sig/ont/fma/fma53231,sublingual nerve,AS
http://purl.obolibrary.org/obo/UBERON_0001282,canals of hering,AS
http://purl.obolibrary.org/obo/UBERON_0001612,facial artery,AS
http://purl.obolibrary.org/obo/UBERON_0000992,ovary,AS
http://purl.obolibrary.org/obo/UBERON_0002512,corpus luteum,AS
http://purl.org/sig/ont/fma/fma80252,branch of deep branch of ulnar nerve to fourth palmar interosseous of hand,AS
http://purl.obolibrary.org/obo/UBERON_0004671,gyrus rectus (straight gyrus),AS
http://purl.obolibrary.org/obo/UBERON_0009887,interlobar renal vein,AS
http://purl.obolibrary.org/obo/UBERON_0005304,intermediate layer,AS
http://purl.obolibrary.org/obo/UBERON_0005304,submucosal plexus of meissner,AS
http://purl.obolibrary.org/obo/UBERON_0005304,submucosal plexus of henle,AS
http://purl.obolibrary.org/obo/UBERON_0001339,ischiocavernosus muscle,AS
