s_iri,relationship,t_iri
http://identifiers.org/hgnc/1695,characterize,http://purl.obolibrary.org/obo/CL_0000809
https://purl.org/ccf/ASCTB-TEMP_pre-antral-follicle-granulosa-cell,located_in,https://purl.org/ccf/ASCTB-TEMP_medial-superior-ovary
http://purl.obolibrary.org/obo/CL_0000071,located_in,http://purl.obolibrary.org/obo/UBERON_0001673
http://purl.obolibrary.org/obo/CL_0000669,located_in,http://purl.obolibrary.org/obo/UBERON_0002106
http://purl.obolibrary.org/obo/CL_0000057,located_in,http://purl.obolibrary.org/obo/UBERON_0022276
http://purl.obolibrary.org/obo/CL_0000057,located_in,http://purl.obolibrary.org/obo/UBERON_0035492
http://purl.obolibrary.org/obo/CL_0000071,located_in,http://purl.obolibrary.org/obo/UBERON_0009687
http://purl.obolibrary.org/obo/CL_0000057,located_in,http://purl.org/sig/ont/fma/fma49532
http://purl.obolibrary.org/obo/CL_0000071,located_in,http://purl.org/sig/ont/fma/fma71479
http://purl.obolibrary.org/obo/CL_0000793,located_in,http://purl.obolibrary.org/obo/UBERON_0001159
https://purl.org/ccf/ASCTB-TEMP_serosa,part_of,http://purl.org/sig/ont/fma/fma14928
http://purl.obolibrary.org/obo/CL_0002080,located_in,http://purl.obolibrary.org/obo/UBERON_0009708
http://purl.obolibrary.org/obo/CL_0000359,located_in,http://purl.org/sig/ont/fma/fma71534
https://purl.org/ccf/ASCTB-TEMP_stromal-cell,located_in,https://purl.org/ccf/ASCTB-TEMP_central-anterior-lower-uterine-segment
http://purl.obolibrary.org/obo/CL_0001058,located_in,http://purl.obolibrary.org/obo/UBERON_0001960
http://purl.obolibrary.org/obo/CL_0000540,located_in,http://purl.obolibrary.org/obo/UBERON_0002037
http://purl.obolibrary.org/obo/PCL_0015017,located_in,http://purl.obolibrary.org/obo/UBERON_0000955
http://identifiers.org/hgnc/6138,characterize,http://purl.obolibrary.org/obo/CL_0000233
http://purl.obolibrary.org/obo/CL_1000413,located_in,http://purl.org/sig/ont/fma/fma50337
https://purl.org/ccf/ASCTB-TEMP_cge276,located_in,http://purl.obolibrary.org/obo/UBERON_0019264
https://purl.org/ccf/ASCTB-TEMP_ctc-535m15-2,characterize,https://purl.org/ccf/ASCTB-TEMP_msn221
http://identifiers.org/hgnc/11922,characterize,http://purl.obolibrary.org/obo/CL_0000788
https://purl.org/ccf/ASCTB-TEMP_facet-of-eleventh-rib,part_of,http://purl.obolibrary.org/obo/UBERON_0004610
http://purl.obolibrary.org/obo/CL_0000057,located_in,http://purl.obolibrary.org/obo/UBERON_0035539
http://identifiers.org/hgnc/1641,characterize,http://purl.obolibrary.org/obo/CL_0000235
https://purl.org/ccf/ASCTB-TEMP_ovarian-corticomedullary-junction,part_of,https://purl.org/ccf/ASCTB-TEMP_central-superior-antimesenteric-ovary
http://purl.org/sig/ont/fma/fma22706,part_of,http://purl.obolibrary.org/obo/UBERON_0001398
http://purl.obolibrary.org/obo/CL_0009072,located_in,http://purl.obolibrary.org/obo/UBERON_0002124
http://purl.obolibrary.org/obo/CL_1000413,located_in,http://purl.obolibrary.org/obo/UBERON_0009885
https://purl.org/ccf/ASCTB-TEMP_muscle,located_in,http://purl.org/sig/ont/fma/fma7206
https://purl.org/ccf/ASCTB-TEMP_respiratory-diaphragm-muscle,part_of,https://purl.org/ccf/ASCTB-TEMP_posterior-abdominal-wall-muscle
http://identifiers.org/hgnc/23319,characterize,http://purl.obolibrary.org/obo/PCL_0015004
